country,x,y
Angola,1993,0
Angola,1994,0
Angola,1995,0
Angola,1996,0
Angola,1997,0
Angola,1998,0
Angola,1999,0
Angola,2000,0
Angola,2001,0
Angola,2002,0
Angola,2003,0
Angola,2004,0
Angola,2005,0
Angola,2006,0
Angola,2007,0
Angola,2008,0
Angola,2009,0
Angola,2010,0
Angola,2011,0
Albania,1993,0
Albania,1994,0
Albania,1995,0
Albania,1996,0
Albania,1997,0
Albania,1998,0
Albania,1999,0
Albania,2000,0
Albania,2001,0
Albania,2002,0
Albania,2003,0
Albania,2004,0
Albania,2005,0
Albania,2006,0
Albania,2007,0
Albania,2008,0
Albania,2009,0
Albania,2010,0
Albania,2011,0
Arab World,1993,0.000334902
Arab World,1994,0.00031567
Arab World,1995,0.000302007
Arab World,1996,0.000286509
Arab World,1997,0.00081181
Arab World,1998,0.000750858
Arab World,1999,0.006395117
Arab World,2000,0.050458768
Arab World,2001,0.096102504
Arab World,2002,0.08579199
Arab World,2003,0.114532984
Arab World,2004,0.13642765
Arab World,2005,0.131304829
Arab World,2006,0.129361031
Arab World,2007,0.16740287
Arab World,2008,0.170094113
Arab World,2009,0.204548383
Arab World,2010,0.288475125
Arab World,2011,0.308147918
United Arab Emirates,1993,0
United Arab Emirates,1994,0
United Arab Emirates,1995,0
United Arab Emirates,1996,0
United Arab Emirates,1997,0
United Arab Emirates,1998,0
United Arab Emirates,1999,0
United Arab Emirates,2000,0
United Arab Emirates,2001,0
United Arab Emirates,2002,0
United Arab Emirates,2003,0
United Arab Emirates,2004,0
United Arab Emirates,2005,0
United Arab Emirates,2006,0
United Arab Emirates,2007,0
United Arab Emirates,2008,0
United Arab Emirates,2009,0
United Arab Emirates,2010,0
United Arab Emirates,2011,0
Argentina,1993,0.173769001
Argentina,1994,0.191058464
Argentina,1995,0.174587779
Argentina,1996,0.52377809
Argentina,1997,0.639039504
Argentina,1998,0.675556997
Argentina,1999,0.713327037
Argentina,2000,0.798560342
Argentina,2001,0.746823503
Argentina,2002,1.115400099
Argentina,2003,1.210501152
Argentina,2004,1.24596907
Argentina,2005,1.292053351
Argentina,2006,1.79373593
Argentina,2007,1.608573855
Argentina,2008,1.329725996
Argentina,2009,1.149123598
Argentina,2010,1.770674501
Argentina,2011,1.661842461
Armenia,1993,0
Armenia,1994,0
Armenia,1995,0
Armenia,1996,0
Armenia,1997,0
Armenia,1998,0
Armenia,1999,0
Armenia,2000,0
Armenia,2001,0
Armenia,2002,0
Armenia,2003,0
Armenia,2004,0
Armenia,2005,0
Armenia,2006,0
Armenia,2007,0.0508647
Armenia,2008,0.034662045
Armenia,2009,0.070534297
Armenia,2010,0.107841627
Armenia,2011,0.040360554
Australia,1993,0.417187385
Australia,1994,0.410961362
Australia,1995,0.431700472
Australia,1996,0.538146947
Australia,1997,0.544909885
Australia,1998,0.546100636
Australia,1999,0.586857342
Australia,2000,0.586093851
Australia,2001,0.712995786
Australia,2002,0.878273184
Australia,2003,1.056758523
Australia,2004,1.12082522
Australia,2005,2.099436384
Australia,2006,2.455677492
Australia,2007,2.746339175
Australia,2008,3.215508162
Australia,2009,2.733969745
Australia,2010,3.218078038
Australia,2011,3.469901652
Australia,2012,3.942361056
Austria,1993,2.61431547
Austria,1994,2.279748997
Austria,1995,3.329225416
Austria,1996,2.93799231
Austria,1997,3.078028194
Austria,1998,3.341083885
Austria,1999,2.752186394
Austria,2000,2.668938103
Austria,2001,2.909918614
Austria,2002,2.747669094
Austria,2003,3.612923215
Austria,2004,4.857378081
Austria,2005,6.142103456
Austria,2006,8.29320923
Austria,2007,9.956557848
Austria,2008,9.829563062
Austria,2009,9.505783703
Austria,2010,9.741053158
Austria,2011,10.67406692
Austria,2012,11.68468566
Azerbaijan,1993,0
Azerbaijan,1994,0
Azerbaijan,1995,0
Azerbaijan,1996,0
Azerbaijan,1997,0
Azerbaijan,1998,0
Azerbaijan,1999,0
Azerbaijan,2000,0
Azerbaijan,2001,0
Azerbaijan,2002,0
Azerbaijan,2003,0
Azerbaijan,2004,0
Azerbaijan,2005,0
Azerbaijan,2006,0
Azerbaijan,2007,0
Azerbaijan,2008,0
Azerbaijan,2009,0.010599958
Azerbaijan,2010,0.005344735
Azerbaijan,2011,0
Belgium,1993,0.36107781
Belgium,1994,0.356036501
Belgium,1995,0.448881876
Belgium,1996,0.428544811
Belgium,1997,0.363468232
Belgium,1998,0.450807189
Belgium,1999,0.61056066
Belgium,2000,0.705544078
Belgium,2001,0.806431097
Belgium,2002,0.961217707
Belgium,2003,1.130910353
Belgium,2004,1.398883264
Belgium,2005,2.121130803
Belgium,2006,3.074168919
Belgium,2007,3.538377168
Belgium,2008,4.79523348
Belgium,2009,5.69179028
Belgium,2010,6.593148756
Belgium,2011,9.191308646
Belgium,2012,11.80246402
Benin,1993,0
Benin,1994,0
Benin,1995,0
Benin,1996,0
Benin,1997,0
Benin,1998,0
Benin,1999,0
Benin,2000,0
Benin,2001,0
Benin,2002,0
Benin,2003,0
Benin,2004,0
Benin,2005,0
Benin,2006,2.597402597
Benin,2007,1.363636364
Benin,2008,1.310043668
Benin,2009,0.78125
Benin,2010,0.666666667
Benin,2011,0.649350649
Bangladesh,1993,0
Bangladesh,1994,0
Bangladesh,1995,0
Bangladesh,1996,0
Bangladesh,1997,0
Bangladesh,1998,0
Bangladesh,1999,0
Bangladesh,2000,0
Bangladesh,2001,0
Bangladesh,2002,0
Bangladesh,2003,0
Bangladesh,2004,0
Bangladesh,2005,0
Bangladesh,2006,0
Bangladesh,2007,0
Bangladesh,2008,0
Bangladesh,2009,0
Bangladesh,2010,0
Bangladesh,2011,0
Bulgaria,1993,0
Bulgaria,1994,0
Bulgaria,1995,0
Bulgaria,1996,0
Bulgaria,1997,0
Bulgaria,1998,0
Bulgaria,1999,0
Bulgaria,2000,0
Bulgaria,2001,0
Bulgaria,2002,0
Bulgaria,2003,0
Bulgaria,2004,0.002413943
Bulgaria,2005,0.011370872
Bulgaria,2006,0.043954112
Bulgaria,2007,0.109462701
Bulgaria,2008,0.273640768
Bulgaria,2009,0.585167882
Bulgaria,2010,1.588543364
Bulgaria,2011,2.035063871
Bahrain,1993,0
Bahrain,1994,0
Bahrain,1995,0
Bahrain,1996,0
Bahrain,1997,0
Bahrain,1998,0
Bahrain,1999,0
Bahrain,2000,0
Bahrain,2001,0
Bahrain,2002,0
Bahrain,2003,0
Bahrain,2004,0
Bahrain,2005,0
Bahrain,2006,0
Bahrain,2007,0
Bahrain,2008,0
Bahrain,2009,0
Bahrain,2010,0
Bahrain,2011,0
Bosnia and Herzegovina,1993,0
Bosnia and Herzegovina,1994,0
Bosnia and Herzegovina,1995,0
Bosnia and Herzegovina,1996,0
Bosnia and Herzegovina,1997,0
Bosnia and Herzegovina,1998,0
Bosnia and Herzegovina,1999,0
Bosnia and Herzegovina,2000,0
Bosnia and Herzegovina,2001,0
Bosnia and Herzegovina,2002,0
Bosnia and Herzegovina,2003,0
Bosnia and Herzegovina,2004,0
Bosnia and Herzegovina,2005,0
Bosnia and Herzegovina,2006,0
Bosnia and Herzegovina,2007,0
Bosnia and Herzegovina,2008,0
Bosnia and Herzegovina,2009,0
Bosnia and Herzegovina,2010,0
Bosnia and Herzegovina,2011,0
Belarus,1993,0
Belarus,1994,0
Belarus,1995,0
Belarus,1996,0
Belarus,1997,0
Belarus,1998,0
Belarus,1999,0
Belarus,2000,0
Belarus,2001,0
Belarus,2002,0
Belarus,2003,0
Belarus,2004,0.003204101
Belarus,2005,0.00322987
Belarus,2006,0.0094307
Belarus,2007,0.047126834
Belarus,2008,0.097009815
Belarus,2009,0.204108507
Belarus,2010,0.243587907
Belarus,2011,0.335487078
Bolivia,1993,1.622029423
Bolivia,1994,1.558073654
Bolivia,1995,1.490559788
Bolivia,1996,1.45151328
Bolivia,1997,1.382488479
Bolivia,1998,1.347708895
Bolivia,1999,1.339860861
Bolivia,2000,1.391752577
Bolivia,2001,1.35678392
Bolivia,2002,1.290630975
Bolivia,2003,1.246537396
Bolivia,2004,1.216007075
Bolivia,2005,1.164215686
Bolivia,2006,1.094339623
Bolivia,2007,1.08126962
Bolivia,2008,1.065841499
Bolivia,2009,1.078255187
Bolivia,2010,0.650118203
Bolivia,2011,3.406258654
Brazil,1993,1.96606026
Brazil,1994,2.071980957
Brazil,1995,2.029745901
Brazil,1996,2.318747039
Brazil,1997,2.397218019
Brazil,1998,2.334124843
Brazil,1999,2.500029876
Brazil,2000,2.248717434
Brazil,2001,2.744225407
Brazil,2002,2.973926074
Brazil,2003,3.281284738
Brazil,2004,3.235747304
Brazil,2005,3.395255475
Brazil,2006,3.567536373
Brazil,2007,4.194120145
Brazil,2008,4.471195371
Brazil,2009,5.122083071
Brazil,2010,6.538412324
Brazil,2011,6.570658081
Brunei Darussalam,1993,0
Brunei Darussalam,1994,0
Brunei Darussalam,1995,0
Brunei Darussalam,1996,0
Brunei Darussalam,1997,0
Brunei Darussalam,1998,0
Brunei Darussalam,1999,0
Brunei Darussalam,2000,0
Brunei Darussalam,2001,0
Brunei Darussalam,2002,0
Brunei Darussalam,2003,0
Brunei Darussalam,2004,0
Brunei Darussalam,2005,0
Brunei Darussalam,2006,0
Brunei Darussalam,2007,0
Brunei Darussalam,2008,0
Brunei Darussalam,2009,0
Brunei Darussalam,2010,0
Brunei Darussalam,2011,0.053691275
Botswana,1993,0
Botswana,1994,0
Botswana,1995,0
Botswana,1996,0
Botswana,1997,0
Botswana,1998,0
Botswana,1999,0
Botswana,2000,0
Botswana,2001,0
Botswana,2002,0
Botswana,2003,0
Botswana,2004,0
Botswana,2005,0
Botswana,2006,0
Botswana,2007,0
Botswana,2008,0
Botswana,2009,0
Botswana,2010,0
Botswana,2011,0
Canada,1993,0.916903613
Canada,1994,1.042879535
Canada,1995,1.018383764
Canada,1996,1.030843263
Canada,1997,1.211122734
Canada,1998,1.313987918
Canada,1999,1.460760521
Canada,2000,1.400933956
Canada,2001,1.516836787
Canada,2002,1.57329687
Canada,2003,1.677064569
Canada,2004,1.627699566
Canada,2005,1.700709068
Canada,2006,1.828441187
Canada,2007,1.79688894
Canada,2008,1.693918307
Canada,2009,2.354479946
Canada,2010,2.973285949
Canada,2011,3.327167841
Canada,2012,3.528830502
Central Europe and the Baltics,1993,0.072236318
Central Europe and the Baltics,1994,0.108914231
Central Europe and the Baltics,1995,0.133603159
Central Europe and the Baltics,1996,0.116162466
Central Europe and the Baltics,1997,0.177703495
Central Europe and the Baltics,1998,0.215755131
Central Europe and the Baltics,1999,0.242796627
Central Europe and the Baltics,2000,0.212429742
Central Europe and the Baltics,2001,0.29494883
Central Europe and the Baltics,2002,0.303771949
Central Europe and the Baltics,2003,0.346906966
Central Europe and the Baltics,2004,0.59390853
Central Europe and the Baltics,2005,0.95507552
Central Europe and the Baltics,2006,1.126521585
Central Europe and the Baltics,2007,1.505428693
Central Europe and the Baltics,2008,2.068363158
Central Europe and the Baltics,2009,2.902727172
Central Europe and the Baltics,2010,3.766073337
Central Europe and the Baltics,2011,5.241464501
Switzerland,1993,0.791968584
Switzerland,1994,0.852911056
Switzerland,1995,0.930165309
Switzerland,1996,1.105777778
Switzerland,1997,1.103350378
Switzerland,1998,1.134758603
Switzerland,1999,1.122711983
Switzerland,2000,1.296049846
Switzerland,2001,1.263738583
Switzerland,2002,1.429727955
Switzerland,2003,1.481696688
Switzerland,2004,1.567417754
Switzerland,2005,1.820478654
Switzerland,2006,1.900700089
Switzerland,2007,1.846862441
Switzerland,2008,1.919863954
Switzerland,2009,1.958843293
Switzerland,2010,2.11931758
Switzerland,2011,2.556560726
Switzerland,2012,2.449069648
Chile,1993,7.290755322
Chile,1994,7.065711912
Chile,1995,6.704249474
Chile,1996,5.65515895
Chile,1997,5.234705829
Chile,1998,3.269593624
Chile,1999,2.630893462
Chile,2000,2.347921553
Chile,2001,4.878794291
Chile,2002,4.467495592
Chile,2003,3.873668026
Chile,2004,3.979846899
Chile,2005,3.423900617
Chile,2006,2.599421547
Chile,2007,4.623220359
Chile,2008,5.227455447
Chile,2009,7.168736208
Chile,2010,4.267465334
Chile,2011,7.625583979
Chile,2012,9.339767493
China,1993,0.003101582
China,1994,0.041804579
China,1995,0.294503754
China,1996,0.141094911
China,1997,0.248553407
China,1998,0.235398121
China,1999,0.235116481
China,2000,0.225476816
China,2001,0.217200263
China,2002,0.202487007
China,2003,0.184392978
China,2004,0.173355504
China,2005,0.297223015
China,2006,0.386748321
China,2007,0.477292195
China,2008,0.856578402
China,2009,1.285207038
China,2010,1.671527102
China,2011,2.216588107
Cote d'Ivoire,1993,0
Cote d'Ivoire,1994,0
Cote d'Ivoire,1995,0
Cote d'Ivoire,1996,0
Cote d'Ivoire,1997,0
Cote d'Ivoire,1998,0
Cote d'Ivoire,1999,0
Cote d'Ivoire,2000,0
Cote d'Ivoire,2001,0
Cote d'Ivoire,2002,0
Cote d'Ivoire,2003,0
Cote d'Ivoire,2004,1.941923775
Cote d'Ivoire,2005,1.936278824
Cote d'Ivoire,2006,1.980548187
Cote d'Ivoire,2007,2.042266027
Cote d'Ivoire,2008,2.034482759
Cote d'Ivoire,2009,1.243188011
Cote d'Ivoire,2010,1.057224367
Cote d'Ivoire,2011,1.049352353
Cameroon,1993,0
Cameroon,1994,0
Cameroon,1995,0
Cameroon,1996,0
Cameroon,1997,0
Cameroon,1998,0
Cameroon,1999,0
Cameroon,2000,0
Cameroon,2001,0
Cameroon,2002,0
Cameroon,2003,0
Cameroon,2004,0
Cameroon,2005,0
Cameroon,2006,12.59302781
Cameroon,2007,1.449551783
Cameroon,2008,1.355395177
Cameroon,2009,1.227736469
Cameroon,2010,1.00016952
Cameroon,2011,1.034022682
"Congo, Dem. Rep.",1993,0
"Congo, Dem. Rep.",1994,0
"Congo, Dem. Rep.",1995,0
"Congo, Dem. Rep.",1996,0
"Congo, Dem. Rep.",1997,0
"Congo, Dem. Rep.",1998,0
"Congo, Dem. Rep.",1999,0
"Congo, Dem. Rep.",2000,0
"Congo, Dem. Rep.",2001,0
"Congo, Dem. Rep.",2002,0
"Congo, Dem. Rep.",2003,0
"Congo, Dem. Rep.",2004,0
"Congo, Dem. Rep.",2005,0
"Congo, Dem. Rep.",2006,0
"Congo, Dem. Rep.",2007,0
"Congo, Dem. Rep.",2008,0
"Congo, Dem. Rep.",2009,0
"Congo, Dem. Rep.",2010,0
"Congo, Dem. Rep.",2011,0
"Congo, Rep.",1993,0
"Congo, Rep.",1994,0
"Congo, Rep.",1995,0
"Congo, Rep.",1996,0
"Congo, Rep.",1997,0
"Congo, Rep.",1998,0
"Congo, Rep.",1999,0
"Congo, Rep.",2000,0
"Congo, Rep.",2001,0
"Congo, Rep.",2002,0
"Congo, Rep.",2003,0
"Congo, Rep.",2004,0
"Congo, Rep.",2005,0
"Congo, Rep.",2006,0
"Congo, Rep.",2007,0
"Congo, Rep.",2008,0
"Congo, Rep.",2009,0
"Congo, Rep.",2010,0
"Congo, Rep.",2011,0
Colombia,1993,1.00884359
Colombia,1994,1.072230674
Colombia,1995,1.116677592
Colombia,1996,1.143858678
Colombia,1997,1.082838247
Colombia,1998,1.184934405
Colombia,1999,1.067208444
Colombia,2000,1.150144928
Colombia,2001,1.141752221
Colombia,2002,1.09009369
Colombia,2003,1.06357835
Colombia,2004,1.04386653
Colombia,2005,1.096608856
Colombia,2006,1.102578882
Colombia,2007,1.051659849
Colombia,2008,1.056243633
Colombia,2009,1.047404221
Colombia,2010,0.947316523
Colombia,2011,3.299796189
Costa Rica,1993,9.588762215
Costa Rica,1994,9.588762215
Costa Rica,1995,9.969167523
Costa Rica,1996,11.32861308
Costa Rica,1997,11.26358938
Costa Rica,1998,12.65472012
Costa Rica,1999,14.7111183
Costa Rica,2000,16.99667582
Costa Rica,2001,17.5982209
Costa Rica,2002,19.04065905
Costa Rica,2003,17.09378774
Costa Rica,2004,18.08886184
Costa Rica,2005,17.22760291
Costa Rica,2006,17.97171438
Costa Rica,2007,17.22651934
Costa Rica,2008,14.89182058
Costa Rica,2009,17.55987542
Costa Rica,2010,17.52921536
Costa Rica,2011,18.66164955
Cuba,1993,8.062170514
Cuba,1994,7.496865859
Cuba,1995,5.538165182
Cuba,1996,6.96585071
Cuba,1997,6.150148452
Cuba,1998,5.506078598
Cuba,1999,6.079216119
Cuba,2000,6.279936136
Cuba,2001,6.078828682
Cuba,2002,5.981272693
Cuba,2003,4.554079696
Cuba,2004,5.046693105
Cuba,2005,2.737583105
Cuba,2006,2.465237719
Cuba,2007,2.343794336
Cuba,2008,3.179272501
Cuba,2009,3.040388087
Cuba,2010,2.684370869
Cuba,2011,2.635877218
Cyprus,1993,0
Cyprus,1994,0
Cyprus,1995,0
Cyprus,1996,0
Cyprus,1997,0
Cyprus,1998,0
Cyprus,1999,0
Cyprus,2000,0
Cyprus,2001,0
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0
Cyprus,2005,0.022846699
Cyprus,2006,0.021496131
Cyprus,2007,0.061588996
Cyprus,2008,0.275699094
Cyprus,2009,0.594439118
Cyprus,2010,1.371664788
Cyprus,2011,3.611280179
Czech Republic,1993,0.274491083
Czech Republic,1994,0.549761085
Czech Republic,1995,0.668592654
Czech Republic,1996,0.457515316
Czech Republic,1997,0.769266705
Czech Republic,1998,0.90833127
Czech Republic,1999,1.058308265
Czech Republic,2000,0.711826748
Czech Republic,2001,0.695099281
Czech Republic,2002,0.65530627
Czech Republic,2003,0.595295595
Czech Republic,2004,0.861678005
Czech Republic,2005,0.917845504
Czech Republic,2006,1.159538097
Czech Republic,2007,1.505172964
Czech Republic,2008,2.052521463
Czech Republic,2009,2.723478218
Czech Republic,2010,3.649831808
Czech Republic,2011,6.090855648
Czech Republic,2012,6.804444189
Germany,1993,0.505658514
Germany,1994,0.666977656
Germany,1995,0.779258803
Germany,1996,0.834224638
Germany,1997,1.041037497
Germany,1998,1.391446029
Germany,1999,1.641495263
Germany,2000,2.401308375
Germany,2001,2.605665027
Germany,2002,3.669190348
Germany,2003,4.517382797
Germany,2004,5.821459679
Germany,2005,6.853830379
Germany,2006,8.032564968
Germany,2007,10.58826519
Germany,2008,10.98982749
Germany,2009,12.89214587
Germany,2010,13.37289599
Germany,2011,17.57016296
Germany,2012,18.88467865
Denmark,1993,4.647671749
Denmark,1994,4.214106166
Denmark,1995,4.954023614
Denmark,1996,3.844574671
Denmark,1997,6.566625296
Denmark,1998,9.481186
Denmark,1999,11.17163412
Denmark,2000,15.37181372
Denmark,2001,15.42049882
Denmark,2002,17.19907348
Denmark,2003,17.44468021
Denmark,2004,23.48897022
Denmark,2005,27.00711803
Denmark,2006,20.12233891
Denmark,2007,26.1394852
Denmark,2008,27.50163863
Denmark,2009,27.60629965
Denmark,2010,31.95246443
Denmark,2011,40.22347957
Denmark,2012,47.62687893
Dominican Republic,1993,0.653838969
Dominican Republic,1994,0.796037502
Dominican Republic,1995,0.748584992
Dominican Republic,1996,0.604686319
Dominican Republic,1997,0.663349917
Dominican Republic,1998,0.415962563
Dominican Republic,1999,0.482021886
Dominican Republic,2000,0.445069103
Dominican Republic,2001,0.368645712
Dominican Republic,2002,0.372777672
Dominican Republic,2003,0.423728814
Dominican Republic,2004,0.646233383
Dominican Republic,2005,0.287157144
Dominican Republic,2006,0.252753205
Dominican Republic,2007,0.321292115
Dominican Republic,2008,0.243943472
Dominican Republic,2009,0.240549828
Dominican Republic,2010,0.232707431
Dominican Republic,2011,0.208092486
Algeria,1993,0
Algeria,1994,0
Algeria,1995,0
Algeria,1996,0
Algeria,1997,0
Algeria,1998,0
Algeria,1999,0
Algeria,2000,0
Algeria,2001,0
Algeria,2002,0
Algeria,2003,0
Algeria,2004,0
Algeria,2005,0
Algeria,2006,0
Algeria,2007,0
Algeria,2008,0
Algeria,2009,0
Algeria,2010,0
Algeria,2011,0
East Asia & Pacific,1993,0.910748188
East Asia & Pacific,1994,0.941140101
East Asia & Pacific,1995,1.065068477
East Asia & Pacific,1996,1.038499797
East Asia & Pacific,1997,1.095911483
East Asia & Pacific,1998,1.133918397
East Asia & Pacific,1999,1.191032841
East Asia & Pacific,2000,1.204316059
East Asia & Pacific,2001,1.173765959
East Asia & Pacific,2002,1.146939573
East Asia & Pacific,2003,1.127645745
East Asia & Pacific,2004,1.098836619
East Asia & Pacific,2005,1.232537635
East Asia & Pacific,2006,1.254106856
East Asia & Pacific,2007,1.288995535
East Asia & Pacific,2008,1.553334612
East Asia & Pacific,2009,1.836230827
East Asia & Pacific,2010,2.242836213
East Asia & Pacific,2011,2.614592094
East Asia & Pacific (all income levels),1993,0.645271424
East Asia & Pacific (all income levels),1994,0.740904148
East Asia & Pacific (all income levels),1995,0.909491683
East Asia & Pacific (all income levels),1996,0.819011121
East Asia & Pacific (all income levels),1997,0.895417546
East Asia & Pacific (all income levels),1998,0.98009882
East Asia & Pacific (all income levels),1999,1.083335075
East Asia & Pacific (all income levels),2000,1.165506198
East Asia & Pacific (all income levels),2001,1.079605415
East Asia & Pacific (all income levels),2002,0.992656011
East Asia & Pacific (all income levels),2003,0.883585268
East Asia & Pacific (all income levels),2004,0.824239579
East Asia & Pacific (all income levels),2005,0.852371394
East Asia & Pacific (all income levels),2006,0.879112713
East Asia & Pacific (all income levels),2007,0.90764907
East Asia & Pacific (all income levels),2008,1.271074733
East Asia & Pacific (all income levels),2009,1.662373845
East Asia & Pacific (all income levels),2010,1.938967076
East Asia & Pacific (all income levels),2011,2.404812508
Europe & Central Asia,1993,0.583810135
Europe & Central Asia,1994,0.651572815
Europe & Central Asia,1995,0.719391205
Europe & Central Asia,1996,0.731778829
Europe & Central Asia,1997,0.900336929
Europe & Central Asia,1998,1.06348042
Europe & Central Asia,1999,1.160621113
Europe & Central Asia,2000,1.385514309
Europe & Central Asia,2001,1.506913048
