country,x,y
Aruba,1993,2.222222222
Aruba,1994,2.222222222
Aruba,1995,2.222222222
Aruba,1996,2.222222222
Aruba,1997,2.222222222
Aruba,1998,2.222222222
Aruba,1999,2.222222222
Aruba,2000,2.222222222
Aruba,2001,2.222222222
Aruba,2002,2.222222222
Aruba,2003,2.222222222
Aruba,2004,2.222222222
Aruba,2005,2.222222222
Aruba,2006,2.222222222
Aruba,2007,2.222222222
Aruba,2008,2.222222222
Aruba,2009,2.222222222
Aruba,2010,2.333333333
Aruba,2011,2.333333333
Aruba,2012,2.333333333
Afghanistan,1993,2.067824648
Afghanistan,1994,2.067824648
Afghanistan,1995,2.067824648
Afghanistan,1996,2.067824648
Afghanistan,1997,2.067824648
Afghanistan,1998,2.067824648
Afghanistan,1999,2.067824648
Afghanistan,2000,2.067824648
Afghanistan,2001,2.067824648
Afghanistan,2002,2.069821995
Afghanistan,2003,2.069821995
Afghanistan,2004,2.069821995
Afghanistan,2005,2.069821995
Afghanistan,2006,2.069821995
Afghanistan,2007,2.069821995
Afghanistan,2008,2.069821995
Afghanistan,2009,2.069821995
Afghanistan,2010,2.069821995
Afghanistan,2011,2.069821995
Afghanistan,2012,2.067824648
Angola,1993,48.60960937
Angola,1994,48.50950509
Angola,1995,48.40940082
Angola,1996,48.30929654
Angola,1997,48.20919227
Angola,1998,48.10908799
Angola,1999,48.00898372
Angola,2000,47.90887944
Angola,2001,47.80877517
Angola,2002,47.70867089
Angola,2003,47.60856662
Angola,2004,47.50846234
Angola,2005,47.40835807
Angola,2006,47.30825379
Angola,2007,47.20814951
Angola,2008,47.10804524
Angola,2009,47.00794096
Angola,2010,46.90783669
Angola,2011,46.80773241
Angola,2012,46.70762814
Albania,1993,28.57664234
Albania,1994,28.50364964
Albania,1995,28.43065693
Albania,1996,28.35766423
Albania,1997,28.28467153
Albania,1998,28.21167883
Albania,1999,28.13868613
Albania,2000,28.06569343
Albania,2001,28.16058394
Albania,2002,28.25547445
Albania,2003,28.35036496
Albania,2004,28.44525547
Albania,2005,28.54014599
Albania,2006,28.49854015
Albania,2007,28.45693431
Albania,2008,28.41532847
Albania,2009,28.37372263
Albania,2010,28.33211679
Albania,2011,28.29051095
Albania,2012,28.24890511
Andorra,1993,34.04255319
Andorra,1994,34.04255319
Andorra,1995,34.04255319
Andorra,1996,34.04255319
Andorra,1997,34.04255319
Andorra,1998,34.04255319
Andorra,1999,34.04255319
Andorra,2000,34.04255319
Andorra,2001,34.04255319
Andorra,2002,34.04255319
Andorra,2003,34.04255319
Andorra,2004,34.04255319
Andorra,2005,34.04255319
Andorra,2006,34.04255319
Andorra,2007,34.04255319
Andorra,2008,34.04255319
Andorra,2009,34.04255319
Andorra,2010,34.04255319
Andorra,2011,34.04255319
Andorra,2012,34.04255319
Arab World,1993,6.895713751
Arab World,1994,6.847783667
Arab World,1995,6.799860922
Arab World,1996,6.751923497
Arab World,1997,6.703993413
Arab World,1998,6.656070668
Arab World,1999,6.608140584
Arab World,2000,6.560217839
Arab World,2001,6.552174686
Arab World,2002,6.544131534
Arab World,2003,6.536181343
Arab World,2004,6.528142876
Arab World,2005,6.520109505
Arab World,2006,6.511936274
Arab World,2007,6.503779275
Arab World,2008,6.495638811
Arab World,2009,6.488692691
Arab World,2010,6.480555855
Arab World,2011,5.384449808
Arab World,2012,1.619492271
United Arab Emirates,1993,3.163875598
United Arab Emirates,1994,3.241626794
United Arab Emirates,1995,3.31937799
United Arab Emirates,1996,3.397129187
United Arab Emirates,1997,3.474880383
United Arab Emirates,1998,3.552631579
United Arab Emirates,1999,3.630382775
United Arab Emirates,2000,3.708133971
United Arab Emirates,2001,3.71291866
United Arab Emirates,2002,3.717703349
United Arab Emirates,2003,3.722488038
United Arab Emirates,2004,3.727272727
United Arab Emirates,2005,3.732057416
United Arab Emirates,2006,3.745215311
United Arab Emirates,2007,3.757177033
United Arab Emirates,2008,3.770334928
United Arab Emirates,2009,3.78277512
United Arab Emirates,2010,3.795454545
United Arab Emirates,2011,3.808133971
United Arab Emirates,2012,3.820813397
Argentina,1993,12.39212333
Argentina,1994,12.28498661
Argentina,1995,12.17784988
Argentina,1996,12.07071316
Argentina,1997,11.96357644
Argentina,1998,11.85643971
Argentina,1999,11.74930299
Argentina,2000,11.64216627
Argentina,2001,11.54993806
Argentina,2002,11.45770986
Argentina,2003,11.36548166
Argentina,2004,11.27325346
Argentina,2005,11.18102525
Argentina,2006,11.09340115
Argentina,2007,11.00577705
Argentina,2008,10.91815295
Argentina,2009,10.83052885
Argentina,2010,10.74290475
Argentina,2011,10.65528065
Argentina,2012,10.56765655
Armenia,1993,11.73515982
Armenia,1994,11.58412364
Armenia,1995,11.43308746
Armenia,1996,11.28205128
Armenia,1997,11.1310151
Armenia,1998,10.97997893
Armenia,1999,10.82894275
Armenia,2000,10.67790657
Armenia,2001,10.53038286
Armenia,2002,10.37921348
Armenia,2003,10.23174157
Armenia,2004,10.08426966
Armenia,2005,9.936797753
Armenia,2006,9.789325843
Armenia,2007,9.641853933
Armenia,2008,9.494382022
Armenia,2009,9.346910112
Armenia,2010,9.199438202
Armenia,2011,9.051966292
Armenia,2012,8.907622058
American Samoa,1993,91.45
American Samoa,1994,91.25
American Samoa,1995,91.1
American Samoa,1996,90.95
American Samoa,1997,90.75
American Samoa,1998,90.6
American Samoa,1999,90.4
American Samoa,2000,90.25
American Samoa,2001,90.1
American Samoa,2002,89.9
American Samoa,2003,89.75
American Samoa,2004,89.55
American Samoa,2005,89.4
American Samoa,2006,89.25
American Samoa,2007,89.05
American Samoa,2008,88.9
American Samoa,2009,88.75
American Samoa,2010,88.55
American Samoa,2011,88.4
American Samoa,2012,88.2
Antigua and Barbuda,1993,23.20454545
Antigua and Barbuda,1994,23.13636364
Antigua and Barbuda,1995,23.06818182
Antigua and Barbuda,1996,23
Antigua and Barbuda,1997,22.93181818
Antigua and Barbuda,1998,22.86363636
Antigua and Barbuda,1999,22.79545455
Antigua and Barbuda,2000,22.72727273
Antigua and Barbuda,2001,22.63636364
Antigua and Barbuda,2002,22.54545455
Antigua and Barbuda,2003,22.45454545
Antigua and Barbuda,2004,22.36363636
Antigua and Barbuda,2005,22.27272727
Antigua and Barbuda,2006,22.27272727
Antigua and Barbuda,2007,22.27272727
Antigua and Barbuda,2008,22.27272727
Antigua and Barbuda,2009,22.27272727
Antigua and Barbuda,2010,22.27272727
Antigua and Barbuda,2011,22.27272727
Antigua and Barbuda,2012,22.27272727
Australia,1993,20.12756596
Australia,1994,20.13303308
Australia,1995,20.13850019
Australia,1996,20.1439673
Australia,1997,20.14943441
Australia,1998,20.15490153
Australia,1999,20.16036864
Australia,2000,20.16583575
Australia,2001,20.13980188
Australia,2002,20.11376801
Australia,2003,20.08773414
Australia,2004,20.06170027
Australia,2005,20.0356664
Australia,2006,19.91538992
Australia,2007,19.79511344
Australia,2008,19.67483696
Australia,2009,19.55456048
Australia,2010,19.434284
Australia,2011,19.31400752
Australia,2012,19.19373104
Austria,1993,46.02304427
Austria,1994,46.09824136
Austria,1995,46.17343845
Austria,1996,46.24863554
Austria,1997,46.32383263
Austria,1998,46.39902971
Austria,1999,46.4742268
Austria,2000,46.54942389
Austria,2001,46.60764099
Austria,2002,46.6658581
Austria,2003,46.7240752
Austria,2004,46.7822923
Austria,2005,46.8405094
Austria,2006,46.90115221
Austria,2007,46.96179503
Austria,2008,47.02243784
Austria,2009,47.10650536
Austria,2010,47.16717834
Austria,2011,47.22785133
Austria,2012,47.28852431
Azerbaijan,1993,11.24770179
Azerbaijan,1994,11.24770179
Azerbaijan,1995,11.24770179
Azerbaijan,1996,11.24770179
Azerbaijan,1997,11.24770179
Azerbaijan,1998,11.26462235
Azerbaijan,1999,11.31733269
Azerbaijan,2000,11.33103323
Azerbaijan,2001,11.3311704
Azerbaijan,2002,11.32925028
Azerbaijan,2003,11.32458985
Azerbaijan,2004,11.3218502
Azerbaijan,2005,11.32349383
Azerbaijan,2006,11.32664545
Azerbaijan,2007,11.32774208
Azerbaijan,2008,11.32801627
Azerbaijan,2009,11.3287018
Azerbaijan,2010,11.32404181
Azerbaijan,2011,11.32376781
Azerbaijan,2012,11.32376781
Burundi,1993,10.19080997
Burundi,1994,9.836448598
Burundi,1995,9.482087227
Burundi,1996,9.127725857
Burundi,1997,8.773364486
Burundi,1998,8.419003115
Burundi,1999,8.064641745
Burundi,2000,7.710280374
Burundi,2001,7.57788162
Burundi,2002,7.445482866
Burundi,2003,7.313084112
Burundi,2004,7.180685358
Burundi,2005,7.048286604
Burundi,2006,6.978193146
Burundi,2007,6.908099688
Burundi,2008,6.838006231
Burundi,2009,6.767912773
Burundi,2010,6.697819315
Burundi,2011,6.627725857
Burundi,2012,6.557632399
Belgium,2000,22.03764861
Belgium,2001,22.07265522
Belgium,2002,22.10766182
Belgium,2003,22.14266843
Belgium,2004,22.17767503
Belgium,2005,22.21268164
Belgium,2006,22.24702774
Belgium,2007,22.28137384
Belgium,2008,22.31571995
Belgium,2009,22.35006605
Belgium,2010,22.38441215
Belgium,2011,22.41875826
Belgium,2012,22.45310436
Benin,1993,49.2284498
Benin,1994,48.60766229
Benin,1995,47.98687478
Benin,1996,47.36608726
Benin,1997,46.74529975
