country,x,y
Aruba,1993,1771
Aruba,1994,1764
Aruba,1995,1782
Aruba,1996,1811
Aruba,1997,1852
Aruba,1998,1668
Aruba,1999,1683
Aruba,2000,2233
Aruba,2001,2237
Aruba,2002,2255
Aruba,2003,2255
Aruba,2004,2259
Aruba,2005,2274
Aruba,2006,2274
Aruba,2007,2358
Aruba,2008,2288
Aruba,2009,2296
Aruba,2010,2321
Afghanistan,1993,1375
Afghanistan,1994,1320
Afghanistan,1995,1269
Afghanistan,1996,1199
Afghanistan,1997,1115
Afghanistan,1998,1056
Afghanistan,1999,832
Afghanistan,2000,781
Afghanistan,2001,645
Afghanistan,2002,359
Afghanistan,2003,583
Afghanistan,2004,733
Afghanistan,2005,1016
Afghanistan,2006,1338
Afghanistan,2007,1991
Afghanistan,2008,3927
Afghanistan,2009,6524
Afghanistan,2010,8236
Angola,1993,5801
Angola,1994,3891
Angola,1995,11012
Angola,1996,10491
Angola,1997,7382
Angola,1998,7308
Angola,1999,9156
Angola,2000,9542
Angola,2001,9732
Angola,2002,12666
Angola,2003,9065
Angola,2004,18793
Angola,2005,19156
Angola,2006,22266
Angola,2007,25152
Angola,2008,26597
Angola,2009,27836
Angola,2010,30418
Albania,1993,2343
Albania,1994,1929
Albania,1995,2087
Albania,1996,2017
Albania,1997,1544
Albania,1998,1753
Albania,1999,2985
Albania,2000,3022
Albania,2001,3223
Albania,2002,3751
Albania,2003,4294
Albania,2004,4166
Albania,2005,4254
Albania,2006,3865
Albania,2007,4056
Albania,2008,4129
Albania,2009,3880
Albania,2010,4283
Andorra,1995,407
Andorra,1996,425
Andorra,1997,458
Andorra,1998,484
Andorra,1999,513
Andorra,2000,524
Andorra,2001,524
Andorra,2002,532
Andorra,2003,535
Andorra,2004,565
Andorra,2005,576
Andorra,2006,546
Andorra,2007,539
Andorra,2008,539
Andorra,2009,517
Andorra,2010,517
Arab World,1993,886034
Arab World,1994,913496
Arab World,1995,876274
Arab World,1996,868507
Arab World,1997,836632
Arab World,1998,906042
Arab World,1999,920255
Arab World,2000,1047706
Arab World,2001,1027339
Arab World,2002,1045454
Arab World,2003,1140716
Arab World,2004,1255188
Arab World,2005,1320344
Arab World,2006,1378931
Arab World,2007,1371949
Arab World,2008,1476943
Arab World,2009,1524130
Arab World,2010,1601122
United Arab Emirates,1993,65980
United Arab Emirates,1994,73131
United Arab Emirates,1995,70641
United Arab Emirates,1996,41059
United Arab Emirates,1997,41646
United Arab Emirates,1998,81495
United Arab Emirates,1999,78375
United Arab Emirates,2000,112562
United Arab Emirates,2001,101415
United Arab Emirates,2002,84704
United Arab Emirates,2003,106842
United Arab Emirates,2004,113241
United Arab Emirates,2005,116149
United Arab Emirates,2006,123875
United Arab Emirates,2007,139405
United Arab Emirates,2008,158935
United Arab Emirates,2009,162602
United Arab Emirates,2010,167597
Argentina,1993,118609
Argentina,1994,123351
Argentina,1995,122547
Argentina,1996,129218
Argentina,1997,134678
Argentina,1998,137674
Argentina,1999,145488
Argentina,2000,141077
Argentina,2001,132632
Argentina,2002,123266
Argentina,2003,133127
Argentina,2004,156170
Argentina,2005,160952
Argentina,2006,174238
Argentina,2007,180416
Argentina,2008,190057
Argentina,2009,179639
Argentina,2010,180512
Armenia,1993,2897
Armenia,1994,2967
Armenia,1995,3491
Armenia,1996,2607
Armenia,1997,3278
Armenia,1998,3407
Armenia,1999,3058
Armenia,2000,3465
Armenia,2001,3542
Armenia,2002,3044
Armenia,2003,3429
Armenia,2004,3645
Armenia,2005,4360
Armenia,2006,4382
Armenia,2007,5068
Armenia,2008,5556
Armenia,2009,4353
Armenia,2010,4221
Antigua and Barbuda,1993,308
Antigua and Barbuda,1994,312
Antigua and Barbuda,1995,323
Antigua and Barbuda,1996,323
Antigua and Barbuda,1997,337
Antigua and Barbuda,1998,334
Antigua and Barbuda,1999,348
Antigua and Barbuda,2000,345
Antigua and Barbuda,2001,345
Antigua and Barbuda,2002,363
Antigua and Barbuda,2003,389
Antigua and Barbuda,2004,407
Antigua and Barbuda,2005,411
Antigua and Barbuda,2006,425
Antigua and Barbuda,2007,444
Antigua and Barbuda,2008,458
Antigua and Barbuda,2009,499
Antigua and Barbuda,2010,513
Australia,1993,302117
Australia,1994,303958
Australia,1995,307434
Australia,1996,329260
Australia,1997,333624
Australia,1998,346913
Australia,1999,325523
Australia,2000,329605
Australia,2001,324860
Australia,2002,341002
Australia,2003,346476
Australia,2004,348757
Australia,2005,362685
Australia,2006,371214
Australia,2007,377235
Australia,2008,387635
Australia,2009,395094
Australia,2010,373081
Austria,1993,60282
Austria,1994,61103
Austria,1995,61730
Austria,1996,63025
Austria,1997,63901
Austria,1998,65566
Austria,1999,63798
Austria,2000,63696
Austria,2001,65716
Austria,2002,67179
Austria,2003,72317
Austria,2004,71866
Austria,2005,74238
Austria,2006,71565
Austria,2007,69141
Austria,2008,68269
Austria,2009,62262
Austria,2010,66897
Azerbaijan,1993,49365
Azerbaijan,1994,42673
Azerbaijan,1995,33480
Azerbaijan,1996,31514
Azerbaijan,1997,29809
Azerbaijan,1998,31676
Azerbaijan,1999,28577
Azerbaijan,2000,29508
Azerbaijan,2001,28771
Azerbaijan,2002,29615
Azerbaijan,2003,30616
Azerbaijan,2004,32090
Azerbaijan,2005,34338
Azerbaijan,2006,39167
Azerbaijan,2007,41426
Azerbaijan,2008,45702
Azerbaijan,2009,42629
Azerbaijan,2010,45731
Burundi,1993,337
Burundi,1994,341
Burundi,1995,334
Burundi,1996,330
Burundi,1997,315
Burundi,1998,301
Burundi,1999,293
Burundi,2000,301
Burundi,2001,216
Burundi,2002,220
Burundi,2003,165
Burundi,2004,198
Burundi,2005,154
Burundi,2006,187
Burundi,2007,191
Burundi,2008,249
Burundi,2009,180
Burundi,2010,308
Belgium,1993,108925
Belgium,1994,113307
Belgium,1995,112977
Belgium,1996,119625
Belgium,1997,116295
Belgium,1998,119185
Belgium,1999,115844
Belgium,2000,115709
Belgium,2001,114766
Belgium,2002,107531
Belgium,2003,114836
Belgium,2004,111282
Belgium,2005,108525
Belgium,2006,106834
Belgium,2007,103215
Belgium,2008,103882
Belgium,2009,104194
Belgium,2010,108947
Benin,1993,1133
Benin,1994,1265
Benin,1995,1327
Benin,1996,1265
Benin,1997,1217
Benin,1998,1214
Benin,1999,1562
Benin,2000,1617
Benin,2001,1738
Benin,2002,2054
Benin,2003,2321
Benin,2004,2512
Benin,2005,2398
Benin,2006,3876
Benin,2007,4499
Benin,2008,4492
Benin,2009,4756
Benin,2010,5189
Burkina Faso,1993,627
Burkina Faso,1994,645
Burkina Faso,1995,627
Burkina Faso,1996,708
Burkina Faso,1997,807
Burkina Faso,1998,862
Burkina Faso,1999,931
Burkina Faso,2000,1041
Burkina Faso,2001,997
Burkina Faso,2002,1005
Burkina Faso,2003,1078
Burkina Faso,2004,1104
Burkina Faso,2005,1126
Burkina Faso,2006,1360
Burkina Faso,2007,1646
Burkina Faso,2008,1698
Burkina Faso,2009,1665
Burkina Faso,2010,1683
Bangladesh,1993,17407
Bangladesh,1994,18969
Bangladesh,1995,22816
Bangladesh,1996,24030
Bangladesh,1997,25064
Bangladesh,1998,24048
Bangladesh,1999,25236
Bangladesh,2000,27869
Bangladesh,2001,32457
Bangladesh,2002,33707
Bangladesh,2003,33883
Bangladesh,2004,39750
Bangladesh,2005,37554
Bangladesh,2006,48137
Bangladesh,2007,48467
Bangladesh,2008,46435
Bangladesh,2009,52328
Bangladesh,2010,56153
Bulgaria,1993,68078
Bulgaria,1994,54345
Bulgaria,1995,58005
Bulgaria,1996,56560
Bulgaria,1997,51617
Bulgaria,1998,48998
Bulgaria,1999,43982
Bulgaria,2000,43531
Bulgaria,2001,46454
Bulgaria,2002,44635
Bulgaria,2003,47308
Bulgaria,2004,46787
Bulgaria,2005,47909
Bulgaria,2006,48943
Bulgaria,2007,52812
Bulgaria,2008,50792
Bulgaria,2009,42805
Bulgaria,2010,44679
Bahrain,1993,15141
Bahrain,1994,15255
Bahrain,1995,16021
Bahrain,1996,15621
Bahrain,1997,17319
Bahrain,1998,18405
Bahrain,1999,18020
Bahrain,2000,18643
Bahrain,2001,13927
Bahrain,2002,15698
Bahrain,2003,16468
Bahrain,2004,17510
Bahrain,2005,19208
Bahrain,2006,19497
Bahrain,2007,22398
Bahrain,2008,24301
Bahrain,2009,24169
Bahrain,2010,24202
"Bahamas, The",1993,1701
"Bahamas, The",1994,1687
"Bahamas, The",1995,1683
"Bahamas, The",1996,1668
"Bahamas, The",1997,1364
"Bahamas, The",1998,1679
"Bahamas, The",1999,1676
"Bahamas, The",2000,1668
"Bahamas, The",2001,1569
"Bahamas, The",2002,1577
"Bahamas, The",2003,1518
"Bahamas, The",2004,1723
"Bahamas, The",2005,1599
"Bahamas, The",2006,1522
"Bahamas, The",2007,1547
"Bahamas, The",2008,1045
"Bahamas, The",2009,1643
"Bahamas, The",2010,2464
Bosnia and Herzegovina,1993,2948
Bosnia and Herzegovina,1994,3231
Bosnia and Herzegovina,1995,3429
Bosnia and Herzegovina,1996,6051
Bosnia and Herzegovina,1997,14606
Bosnia and Herzegovina,1998,18812
Bosnia and Herzegovina,1999,18089
Bosnia and Herzegovina,2000,23223
Bosnia and Herzegovina,2001,20700
Bosnia and Herzegovina,2002,22919
Bosnia and Herzegovina,2003,23238
Bosnia and Herzegovina,2004,24617
Bosnia and Herzegovina,2005,25618
Bosnia and Herzegovina,2006,27169
Bosnia and Herzegovina,2007,27884
