country,x,y
Aruba,1993,0.006721137
Aruba,1994,0.006721137
Aruba,1995,0.006721137
Aruba,1996,0.006721137
Aruba,1997,0.006721137
Aruba,1998,0.006721137
Aruba,1999,0.006721137
Aruba,2000,0.030261061
Aruba,2001,0.006721137
Aruba,2002,0.006721137
Aruba,2003,0.006721137
Aruba,2004,0.006721137
Aruba,2005,0.006721137
Aruba,2006,0.006721137
Aruba,2007,0.006721137
Aruba,2008,0.006721137
Aruba,2009,0.006721137
Aruba,2010,0.030261061
Aruba,2012,0.030261061
Afghanistan,1993,0.366882032
Afghanistan,1994,0.366882032
Afghanistan,1995,0.366882032
Afghanistan,1996,0.366882032
Afghanistan,1997,0.366882032
Afghanistan,1998,0.366882032
Afghanistan,1999,0.366882032
Afghanistan,2000,0.366882619
Afghanistan,2001,0.366882032
Afghanistan,2002,0.366882032
Afghanistan,2003,0.366882032
Afghanistan,2004,0.366882032
Afghanistan,2005,0.366882032
Afghanistan,2006,0.366882032
Afghanistan,2007,0.366882032
Afghanistan,2008,0.366882032
Afghanistan,2009,0.366882032
Afghanistan,2010,0.37200757
Afghanistan,2012,0.37200757
Angola,1993,12.05923051
Angola,1994,12.05923051
Angola,1995,12.05923051
Angola,1996,12.05923051
Angola,1997,12.05923051
Angola,1998,12.05923051
Angola,1999,12.05923051
Angola,2000,12.05924617
Angola,2001,12.05923051
Angola,2002,12.05923051
Angola,2003,12.05923051
Angola,2004,12.05923051
Angola,2005,12.05923051
Angola,2006,12.05923051
Angola,2007,12.05923051
Angola,2008,12.05923051
Angola,2009,12.05923051
Angola,2010,12.06313945
Angola,2012,12.06321064
Albania,1993,2.835177021
Albania,1994,3.046614069
Albania,1995,3.046614069
Albania,1996,4.36773718
Albania,1997,4.36773718
Albania,1998,4.36773718
Albania,1999,6.045688823
Albania,2000,6.191613305
Albania,2001,6.045688823
Albania,2002,6.166921472
Albania,2003,6.176017204
Albania,2004,6.740765267
Albania,2005,7.632089382
Albania,2006,8.383948071
Albania,2007,8.383951344
Albania,2008,8.418842909
Albania,2009,8.418842909
Albania,2010,9.476582149
Albania,2012,9.476582149
Andorra,1993,5.560184538
Andorra,1994,5.560184538
Andorra,1995,5.560184538
Andorra,1996,5.560184538
Andorra,1997,5.560184538
Andorra,1998,5.560184538
Andorra,1999,5.560184538
Andorra,2000,7.510795236
Andorra,2001,5.560184538
Andorra,2002,5.560184538
Andorra,2003,5.560184538
Andorra,2004,6.119063123
Andorra,2005,6.119063123
Andorra,2006,6.119063123
Andorra,2007,6.119063123
Andorra,2008,6.119063123
Andorra,2009,6.119063123
Andorra,2010,9.829451579
Andorra,2012,9.829451538
Arab World,1993,3.336797143
Arab World,1994,6.90701678
Arab World,1995,7.041647211
Arab World,1996,7.215504327
Arab World,1997,7.246766633
Arab World,1998,7.273276241
Arab World,1999,7.27458388
Arab World,2000,7.305645623
Arab World,2001,7.300195475
Arab World,2002,7.379940556
Arab World,2003,7.429454791
Arab World,2004,7.429538838
Arab World,2005,7.42953398
Arab World,2006,7.429562478
Arab World,2007,7.42955762
Arab World,2008,7.429552762
Arab World,2009,7.430985725
Arab World,2010,8.710696216
Arab World,2012,9.777657947
United Arab Emirates,1993,0.266957817
United Arab Emirates,1994,0.292287597
United Arab Emirates,1995,0.292287597
United Arab Emirates,1996,0.292287597
United Arab Emirates,1997,0.292287597
United Arab Emirates,1998,0.292287597
United Arab Emirates,1999,0.292287597
United Arab Emirates,2000,8.923885853
United Arab Emirates,2001,4.504267869
United Arab Emirates,2002,4.504267869
United Arab Emirates,2003,4.708512613
United Arab Emirates,2004,4.708512613
United Arab Emirates,2005,4.708512613
United Arab Emirates,2006,4.708512613
United Arab Emirates,2007,4.708512613
United Arab Emirates,2008,4.708512613
United Arab Emirates,2009,4.708512613
United Arab Emirates,2010,15.46823454
United Arab Emirates,2012,15.46823454
Argentina,1993,4.996713789
Argentina,1994,5.07196098
Argentina,1995,5.095439415
Argentina,1996,5.181452128
Argentina,1997,5.248730386
Argentina,1998,5.248737445
Argentina,1999,5.248737445
Argentina,2000,5.748055141
Argentina,2001,5.254071816
Argentina,2002,5.254071816
Argentina,2003,5.254071816
Argentina,2004,5.254071816
Argentina,2005,5.254071816
Argentina,2006,5.254071816
Argentina,2007,5.254071816
Argentina,2008,5.254071816
Argentina,2009,5.254071816
Argentina,2010,6.64376406
Argentina,2012,6.649813405
Armenia,1993,6.931016818
Armenia,1994,6.931016818
Armenia,1995,6.931016818
Armenia,1996,6.931016818
Armenia,1997,6.931016818
